score	review
5	New one hotel in Yogyakarta <U+0001F642>Good hotel, large standart room, next to mall and shopping center, huge restaurant, helpfull members, large area and free parking, huge swimming pool, kids pool, strategic place, 
4	We recently spent 4 nights at this Marriott Yogyakarta hotel, probably the newest 5 stars hotel in Yogya.  We stayed at Junior Suite room, thanks for the automatic upgrade provided due to my titanium elite status. The room is spacious, clean and in good condition. Bed is comfortable and comfy.   - Services from the team members are excellent, especially at the restaurant; they are all very nice and attentive (especially one of the team member named Tian).  - They also pay special attention and care to an elite member like myself, thanks for the delicious marshmallow dipped in chocolate.  - Bathroom and water pressure are very good.  - Food Quality are good & enjoyable but not very special. Taste can still be improved further, especially on traditional Indonesian food & desserts.  - Room design can be improved.  For Junior suite room We believe at least ‘capsule’ coffee machine should be installed.  And bathroom should have 2 sinks instead of 1.  - 2nd & 3rd phone should be installed in the bathroom and living room.  - The room should have a balcony to relax and enjoy the view of the pool.   Overall I believe the hotel actually deserves a 4.5 stars rating since this is indeed a very nice hotel, and recommended if you plan to stay in Yogyakarta.  …
5	What a great experience for me n my family since they go extra mile from my requests. The buffet also had many variations of foods and really suit our taste. It's a wonderful experience <U+0001F44D><U+0001F3FB> 10/10 <U+0001F44D><U+0001F3FB>
5	It was a pleasure stay at Mariott Yogyakarta, all the crews are very friendly and helpful. Breakfast and dinner are tasty and the best one compare than another 5 star hotel at Yogyakarta.  I was impressed with service from Maya and Zain. Zain can see that I love beras kencur and offer me a cup drink of beras kencur to take away. He even wrote a good words on our cups, I was very happy!  Sister Maya served me a chamomile tea, she said that it could help me to have a good quality of sleep..   Definitely will stay at Mariott again for the next trip.  Thank you!
5	Had a two nights stay for a business trip.  Check-in: It was swift and efficient. The BonVoy app from marriot makes checking in simpler and agile. Hotel cards can easily be replaced by tapping in my phone's NFC. Reception was warm, welcoming and helpful. Consierge was safe and assisting, did NOT slow down and wait for tip and that is great attitude (although i did tip but his attitude was great).  Room:  Dark neutral colour themed yet still welcoming to sweep you off to comfort. Carpet was firm and clean, good conditions. Bed is prime and hygienic. Sheets and duvet were chosen to define quality (light yet warm). Ac control unit is digital and very easy to use. Doors and walls are sturdy and serene, great accoustic sound proofing. Toilet can be improved. Seats were loose and wobbly. The rubber parts (where the water flows out) of all the armatures (shower hose, rainfall fixed shower, toilet jet spray) is worn with mould and calcification which makes the apoearance unhygienic and makes the water flows in weird and omnidirectional. Engineering could have a look at that as mould tinted shower heads leaves a feeling of disgust.  Facilities:  Pools were in great acidity (PH level) and chlorine level smells like its around 1.4 to 1.6. Just the right amount. Towels were flawless and spotless. Gym machinese were in optimal conditions and areas are clean. IT dept did a splendid job on arranging a seamless Wi-Fi. Its not easy as many 5 star hotels will flaw in this area. Wi-Fi is seamless without more than 60ms ping loss no matter where you are in the hotel area, automatically switching router to router to router in each respective range.  F&B: The prices of F&B including minibar (in-room) were of absolute value. Coffee for 45k, cola for 20k. Now that's fair and one of the greatest value I've had in a 5 star establishment.  Breakfast doesn't leave you longing for more. Sausage quality was average for a 5 star, local cuisine is too sweet and soggy, as if it was drenched in liquid. The staff service in the Yogyakarta Breakfast was perfect and resembles the marriot brand. No complaints there. Toast, syrup, jam quality was great. Cold cuts feels a bit aged (sour).   Outdoor seating in the breakfast area could be more maintained. Woods were chipping off and some splinter may poke if seated improperly.  Overall:  Great stay. Recommended for all business travellers. The minor flaws were easily forgotton due to how they astonishingly thrive in almost all areas. Simply the best hotel in yogyakarta. …
5	I have stayed in this Marriott since it first opened and become my top choice in Yogyakarta.  I like the room design, M club lounge, and most important their GOOD SERVICE.  Marriott Yogyakarta is the best hotel in town !!!
5	We enjoyed our stay at Marriott Yogyakarta. The room is very clean and spacious. Special thanks to Mr. Aji Kamadanu (FO) for being so helpful to us throughout our stay, we appreciate it. Definitely will consider staying here again in the future!
5	Today i was checked out from Marriott Yogyakarta. This  my 3rd times stayed at Marriott Yogyakarta. As usual, they staff gave me an amazing experience, and Outstanding services (from checked in, during stay and checked out) They are Yudha Umbara , Dichi , Lely , Perdi( FO & HK), Yolanda, Ira, Weny, Aguslyta, Maya, Slamet, Kharis, Zain and chef agustono (FB). Best Hotel in Yogyakarta. Good property , completed facility , near tourism attraction and mall. Very recomnded property if you traveling to Yogyakarta! Keep and maintain your Excellent Services!!!  Feels like home!
5	Last week i was stayed @ Yogyakarta Marriott Hotel for second times. They Staff very humble, attention to the guest needs and friendly. Especially for FB Team (Yolanda , Slamet , Agustin, Wenny, chef Agustono) and HK team (Novan and Anna). Breakfast at Yogyakarta Restaurant very delicious , many variety of food & beverage. Feels like home.  I will back to Yogyakarta Marriott soonest. 
3	Huge and beautiful room  Sadly, towels smell like cigarette!! Awful. We asked for the change of towels but they remain the same awful cigarette smell. The only difference was strong or weak smell of smoke. Unsure if the staffs were smoking while doing laundry.  Irony was the hotel has strict rules of not having more than 2 people in the room, even though there are limit of people imposed during breakfast time, it appeared to be over crowded in our personal view  Good selection of breakfast. Taste wise is just average. However, waffle n the ice cream taste really good.   Hope they do something about the laundry and perhaps watching out on breakfast crowd more strictly 
3	In this pandemic situation, I only trusted the 5 stars hotel that has strictly comply the Covid-19 protocols. Beside that, I really like the location of this hotel due to near to mall. We can do for shopping and fast to find coffee or eating.  However, it’s my second visit to this hotel and the pillowcase smells bad that’s always disappoint me. Even though  they had already changed the pillow but it still smells. 
5	I stayed for a night with my hubby, and I booked with Mr. Victorius Agung he's very kind. When I arrived in the hotel Mr. Asep as Receptionist welcoming us so friendly and give us free upgrade room with pool view, thanks<U+263A><U+FE0F>. Thank you for Dimas and Fahmi who prepared my special room, looks good<U+0001F60D> For Ms. Weny as greeter Yogyakarta Kitchen and Mr. Slamet as Waiter, thank you so much for assist us during breakfast time. All FnB staffs are very kind and helpfull. Thank's Marriot Yogyakarta<U+0001F970><U+2764><U+FE0F>
5	It's such a great place to stay. The hotel located in a strategic place, and close to the mall. Their service are very good that they provide anything i need. They also provide a great food for breakfast.  Their facilities such as pool and gym are also great.
5	I stayed here for business meeting. The room was spacious and comfort. The swimming pool was big and good place for relax. The service was OK.  The meeting was also held in this hotel and the arrangement as well as the meeting and ballroom were also good.
4	Check in on 2This property location is out off city centre, about 25 min from Malioboro. Close from Big Shopping Mall. Staff is friendly and profesional. Room is big and neat, good. Room amenities cheap quality for hotel like Marriot. Breakfast average, restaurant to crowded and weak protocol pandemic applied Swimming pool good, but so crowded during pandemic, should be guest limited. Weak pandemic protocol applied 
5	I'd like to specifically appreciate the hospitality shared by the staff in the restaurant near the pool.  My nephew ordered ‘Green Tea’ while he was expecting ‘Matcha’. When the staff finds this out, he mentioned that there was no ‘Matcha’ in the menu, but he has matcha powder and he said he will try to make matcha drink for my nephew. Et voila, the staff came with a matcha drink that is super tasty, my nephew is super happy and my heart feels so warm to encounter this kind staff who is going beyond his role.   It's also nice to have the pool where we an walk across the pool without swimming, love it!
5	Clean and spacious rooms. Staff is okay. Covid measures are in place. Parking is huge. Having direct access to the mall is the biggest plus point. Breakfast is good, but could have done better with more choices.
3	My last stay during business trip on some Marriott properties. Unfortunately this was not the memorable one. Booked a deluxe room, and as a platinum member was upgraded to a suite room. But no welcome amenities given, so I do not feel a special treatment here.  The room is  nice and big, lots of storage area, with nice Thann shower amenities.  But  I have issue with puddle water on shower area, and still not yet resolved until my check out time.   Breakfast service was my let down. The staffs were not responsive, and tends to service guest with better appearance. Food selection was very limited  with average taste. I decided to have my breakfast outside of the hotel on the second day.   Pool is big with nice view, except the abandoned building across the hotel.  Hotel itself is…
5	I stayed one night with my family. Hotel was adjancent with big mall in Yogyakarta and pool was superb. Staff service was cool. Food was delicious and various items. Room space was wide and view was awesome.
1	This is our first terrible experience with Marriott hotel. What we knew that Marriot has the highest standard for the guest service and experience, especially in this pandemic situation which all we knew that the Hotel should apply the safety protocol for their guest and employee.  There are some point that catch our attention : Hotel have no safety protocol during this pandemic period.  No queeing line for the guest in Lobby, the lobby was so crowded at 7 PM because all of the guest was waiting for the room. The guest gather in the Lobby like no physical distancing rules in the Hotel.And none of sign and none of the manager was incharge. We arrived on 7 PM and our room are not avalaible yet (until this time i wrote this feedback) When the staff incharge ( Aji) told us that they…
1	Worst check-in Experience I have ever had in my over 10 years member loyalty. Being ambassador elite member and life time platinum member never been on my nerve but the pictures explain. I had my check-in confirmed the night before I checked in today and after arriving at 4 pm the reception informed me the room is not ready???? I have waited over 45 mins and if I didn’t show frustration or anger no one would have attended me ! I have requests for the Duty manager to come up and after nearly 30 mins the ops director showed up apologizing yet not acceptable. Another frustrating experience there was no security check, no temperature check done at the entrance (pictures explain). The lobby was crowded with many guest who was facing the same issues so clearly no social distancing and…
1	1. Checking in at 5 PM and two rooms out of three still not cleaned yet. I need to wait for another 30 mins. 2. Inconsistency in each room. One had slipper, and others don’t. One with laundry bag, others don’t. 3. Cleanliness. Yellow towel in rooms and pool. Pillow smelled like someone with a lot of salves just slept on it (in all three bedrooms!). Dirt, dust, and hairs behind the couch. You name it, and it’s there. There are spots on the sheet, as well as visible holes. Last time I visit this hotel, I find a bottle cap in the bathroom. Good things that on this visit, I see a bottle cap again. At least something is consistent. Empty plates in the corridor were left from night to almost afternoon on the following day. One of my family is a fan of the public toilet. He uses the…
5	I stayed 1 night in this hotel. The facilities are very complete. They make aniversary decorations in the room as I requested. My room got an upgrade, and they gave bonus cake for Marvott Bonvoy members. Get dinner and breakfast packages. Buffet dinner, they adopted a good health protocol at the time of this pandemic, a spoon to take dishes 1x use, good job.  A la carte breakfast, we can order the menu as desired.  The swimming pool is very large, safe for children. Fitness equipment is very complete. In my opinion, Marriott is one of the very good hotels in the city of Yogyakarta.
5	As the name “Marriot” says it, the hotel was very comfy and the room is reasonably big, the food were pretty good, and suitable for kids. Will recommend to friends, since Marriot is one of the best hotel in Yogyakarta region.
5	This hotel is really excellent. The staffs are working tirelessly to make sure the guests have a fantastic experience.  The club lounge assistance manager Ms Citra went above and beyond to make sure our stay a memorable ones and she did it. I'm really thankful to her and the rest of the staffs.  I've stayed in a couple of Bonvoy hotels in Indonesia and I can safely say that I found this gem in Yogyakarta.The quality of service is on par with Ritz Carlton Mega Kuningan.  We arrived in an early morning and immediately checked into a nice suite without having to wait. The club lounge and the restaurant service are excellent. They just did everything right. The house keeping is fast and precise. The front desk is helpful and friendly.  I hope to stay with them again in the near…
5	Me and husband was celebrate out 2nd anniversary at yogyakarta Marriott from 14-16 March 2020. To summarize our stay, we really enjoyed every moment we had with yogyakarta Marriott. The service was on top notch!                                                      On the arrival day, we were warmly welcomed by Chornellia (if im not wrong) she always accomodating and always smiling while check in process . When me and husband arrived at our room . How surprised i am for the little touch from GR & HK team (Ibnu & purwo).. also for a delicious cake, cookie & jamu .. thank you so much !!                                                             Moving from the room.. i think it was delux room with space from us to room around. The toilet is so spacious with a variety of bath…
5	Had the chance to visit this property for one night as we came to Yogyakarta for a couple days.  Traveling all over the world, i love to see how each Marriott property treats its Bonvoy members.  Being titanium elite I have had a mixture of experiences.  Let me start off by saying the staff at this property has been the best Marriott stay I have ever had worldwide.  Upon arrival i was escorted to the M Club which houses the elite member checkin area.  Citra was great in getting us checked in and comfortable.  I was upgraded to a suite room with pool view.  My other two rooms as well were upgraded to a deluxe pool view.  She then guided us to grab some snacks and drinks before showing us to the elevator.  Best part of the trip was all the staff handling the club area and around…
4	Hotel services is very good and that the location is close to area of interest. The shopping centre next to the hotel is good as it have all the restaurant and shopping needed to do in yogyakarta. Rooms are clean and comfortable for a short break..Will consider to come back for a visit soon.
5	We were there for 3 nights. Things that stood out and we enjoyed. The rooms were spacious with village view. The pool area and the restuarant there are enjoyable in the evening though swimming pool closes way too early at 7pm or maybe 8pm. The food order to serve time is very long. But we were not in a hurry. Bottled water was available on demand. The buffet and order options were plenty at the main restuarant and food is good. Lastly connected to a big shopping mall, makes up for anything you are missing. I would stay here becoz of the vicinity as well. Getting in and out of the hotel was time consuming
5	My impression:   First came to the hotel lobby quite spacious and monochrome style, the staff was very warm welcoming my arrival. Then upon check-in process simply, and friendly (sorry I forgot the name of the lady receptiont), the room was not ready and I decided to look for lunch at the mall next door, i never expected they call me back for confirm my room is ready  but they did it.   The rooms are different from the Marriott I have visited, very unique for bathroom and very spacious, but kinda annoyed view (below like a landfill), but no problem i still can see mountain.  Taking time to enjoy the gym facilities that are quite complete and pool, but unfortunately for jacuzi is still not ready, i wish the next visit can be enjoyed.    I was able to have dinner in the Dapur…
5	When you stay at Marriott you just don’t have to worry. This was spot on. Beautiful lobby decorated to celebrate CNY. Welcome drink, map and recommendations. Beautiful, clean and luxurious room with a nice view of the pool. Nice, quiet and serene.  I enjoyed the spa and the breakfast and the surrounding mall for a little stroll  The friendly staff recommend Sasanti for dinner where Obama dined with his family once. Nice choice. Also got recommended a nice traditional gudeg restaurant.  I only stayed one night in order to visit Prambanan and then left to visit Borobudur.
5	Absolutely the nicest hotel in Jogjakarta.   The staff are always so friendly and welcoming and always greet us with the warming smile.    At the buffet which we always go to the supervisor Gery was very friendly and professional and had a great chat with us.   100% would recommend this hotel and the buffet!
5	First time staying there and I’m very impressed with the service from all their staff. Front counter and service staff are polite, warm and friendly. Engineering staff are quick to respond. My room’s hotel card reader had a faulty battery and the staff managed to replace within 15minutes.  Location is about 25 minutes to the Adisucipto Airport.  Hartono mall is directly beside the hotel.  For sightseeing, Malioboro area is about 30 minutes drive from the hotel.  I like the general ambience of the hotel as it is quiet and peaceful.
4	Very nice big room with there is bluetooth JBL speaker for clock and alarn and able to connect handphone as well. Nice and bid bath room as well Highspeed free wifi works well The food variation during my 4 nights stay is quite same everyday
